word,jyutping
䁓出去,
咁出奇,
空間造型,
姚明一代,
萌渚嶺,mang4 zyu2 leng5
跳晒舞,
我在白雲,
偶人,ngau5 jan4
冇話頭,mou5 waa6 tau4
通關節,tung1 gwaan1 zit3
軍界,gwan1 gaai3
模特卡,
俠盜飛車,hap6 dou6 fei1 ce1
古冶,gu2 je5
睇數吖,
標出標入,
髮綹,faat3 lau5
灰奇鶥,fui1 kei4 mei4
賊亮,caak6 loeng6
嘆返下,
寬打窄用,fun1 daa2 zaak3 jung6
孤孑特立,gu1 kit3 dak6 laap6
猴麪包,hau4 min6 baau1
灤縣,lyun4 jyun6
徒手格鬥,
化子,faa3 zi2
高樂亭,
淘米,tou4 mai5
文墨,man4 mak6
普遍推廣,
噉嘞,
三民區,saam1 man4 keoi1
敞車,cong2 ce1
酒巴,zau2 baa1
螺絲總彙,
傘菌,saan3 kwan2
發畀你,
奧米加六,
斜投影,ce4 tau4 jing2
心㤢㤢,sam1 juk1 juk1
五錯,
感恩圖報,gam2 jan1 tou4 bou3
堅戈,gin1 gwo1
和揖,wo4 jap1
激波,gik1 bo1
心眼多,sam1 ngaan5 do1
奧特萊斯,ou3 dak6 loi4 si1
紫微宮,zi2 mei4 gung1
庫爾勒,fu3 ji5 lak6
展轉騰挪,zin2 zyun2 tang4 no4
齊亞諾,
針麻,zam1 maa4
入泥窿,
頂閥,deng2 fat6
更深人靜,gaang1 sam1 jan4 zing6
影相機,jing2 soeng2 gei1
布格仔,
基桑加尼,gei1 song1 gaa1 nei4
林邊鄉,lam4 bin1 hoeng1
號曰,hou6 joek6
㷫親,hing3 can1
吉明,
尚義,soeng6 ji6
曉曉聲,hiu2 hiu2 seng1
侵埋,
宛然,jyun2 jin4
宅急送,
吉屋招租,gat1 uk1 ziu1 zou1
羅姆人,lo4 mou5 jan4
你訓,
酒刺,zau2 ci3
閬風巔,long5 fung1 din1
終因,
墩布,dan2 bou3
唱嚟,coeng3 lai4
感暑,gam2 syu2
占地方,zim3 dei6 fong1
裊娜,niu5 naa4
六龜鄉,luk6 gwai1 hoeng1
銳步,jeoi6 bou6
本該如此,
朱粒水泡,zyu1 lap1 seoi2 pou5
湖內鄉,wu4 noi6 hoeng1
唞幾日,
瘡埋口喇,
天無二日,tin1 mou4 ji6 jat6
空框框,hung1 gwaak1 gwaak1
諛辭,jyu4 ci4
專愛個,
叱問,cik1 man6
巨揈,geoi6 fang4
鄉鄰,hoeng1 leon4
得閒再嚟,
烏蘭夫,wu1 laan4 fu1
半熟女人,
勐海,maang5 hoi2
安瓿瓶,on1 pau2 ping4
承上啓下,
老尖,lou5 zim1
執到本書,
英譯名,
生拉硬拽,sang1 laai1 ngaang6 jai6
與日同輝,jyu5 jat6 tung4 fai1
答詞,daap3 ci4
惡辣,ok3 laat6
鬥勁,
零功率堆,ling4 gung1 leot2 deoi1
淨係準,
吸頂燈,kap1 deng2 dang1
瀉咗啲咯,
堂廡,tong4 mou5
昏頭昏腦,fan1 tau4 fan1 nou5
和棋,wo4 kei4
舞水端里,mou5 seoi2 dyun1 lei5
信口開合,seon3 hau2 hoi1 hap6
得啦得啦,
田鷚,tin4 lau6
義怒,ji6 nou6
冬月,dung1 jyut6
諗歸邊,
踩地盤,caai2 dei6 pun4
內含體,noi6 ham4 tai2
波士尼亞,bo1 si6 nei4 aa3
活脫,wut6 tyut3
四川小吃,
截客,
舊橙,gau6 caang2
顯考,hin2 haau2
名稱標籤,ming4 cing1 biu1 cim1
口碼,hau2 maa5
枷帶鎖抓,gaa1 daai3 so2 zaau2
廬山區,lou4 saan1 keoi1
自我防衛,zi6 ngo5 fong4 wai6
完形測驗,jyun4 jing4 caak1 jim6
邊有譜,
噉嘎,
岷江,man4 gong1
愆期,hin1 kei4
半開化,bun3 hoi1 faa3
噉㗎,
伊吾,ji1 ng4
好低分,
來東門,
童牀,tung4 cong4
柔腸寸斷,jau4 coeng4 cyun3 dyun6
黨記,
赫哲語,haak1 zit3 jyu5
照搞,
醜甩耳仔,cau2 lat1 ji5 zai2
餅肥,beng2 fei4
彬縣,ban1 jyun6
米諾安,mai5 nok6 on1
糯米屎忽,no6 mai5 si2 fat1
有好多也,
餘留,jyu4 lau4
我就好似,
借轉,ze3 zyun3
窯姐,jiu4 ze2
松鴉,cung4 aa1
收攬,sau1 laam5
上栗,soeng6 leot6
額爾金,ngaak6 ji5 gam1
橫槓,waang4 gong3
人給家足,jan4 kap1 gaa1 zuk1
同我閘住,
大食癪,daai6 sik6 zik1
飛咇,fei1 bit1
耳圍,
鍵豐皮具,
望到頸長,
連接頭,
藤縣,tang4 jyun6
斜交,ce4 gaau1
嫠節,lei4 zit3
電子工具,
塘底,
荷蘭宿舍,
義塚,ji6 cung2
綠嘴地鵑,luk6 zeoi2 dei6 gyun1
燒麥,siu1 mak6
未名,mei6 ming4
電動葫蘆,din6 dung6 wu4 lou4
做着先,
守禮拜,sau2 lai5 baai3
省察,sing2 caat3
要修要補,jiu3 sau1 jiu3 bou2
五金店鋪,ng5 gam1 dim3 pou3
僵固性,goeng1 gu3 sing3
收藏天地,
黑沙灘,
抓藥,zaau2 joek6
便宜行事,pin4 ji4 hang4 si6
望奎縣,mong6 kwai1 jyun6
孳孳,zi1 zi1
討巧,tou2 haau2
你嗌乜呀,
明心見性,ming4 sam1 gin3 sing3
鎮坪,zan3 ping4
嘚喇,
紅磷,hung4 leon4
你睇住先,
海隅,hoi2 jyu4
馬鱉,maa5 bit3
幾好幾好,
基本點,gei1 bun2 dim2
出痲,ceot1 maa2
蹇修,gin2 sau1
棕藪鴝,zung1 sau2 keoi4
文水縣,man4 seoi2 jyun6
笑駡,
基底膜,gei1 dai2 mok2
雜和麪兒,zaap6 wo4 min6 ji4
陸風汽車,
戒菸,gaai3 jin1
餓過饑,ngo6 gwo2 gei1
地面波,
引嫌,jan5 jim4
大概幾時,
數黑論白,sou2 hak1 leon6 baak6
你見點呀,
如果您,
慢騰騰,maan6 tang4 tang4
揞唔實,
前鋸肌,cin4 geoi3 gei1
廣河,gwong2 ho4
上晝九點,
喚頭,wun6 tau4
四氟化鈾,sei3 fat1 faa3 jau4
繼統,gai3 tung2
衆口鑠金,zung3 hau2 soek3 gam1
屬格,zuk1 gaak3
西鯡,sai1 fei1
等佢覆,
腰肉,jiu1 juk6
例語,lai6 jyu5
凍容,dung3 jung4
胡須公,
新五代史,san1 ng5 doi6 si2
嘴巴子,zeoi2 baa1 zi2
孤拐,gu1 gwaai2
少林拳,siu3 lam4 kyun4
獻言,hin3 jin4
水蛭素,seoi2 zat6 sou3
吊瓶族,diu3 ping4 zuk6
你真係叻,
你醒下,
死咗籠雞,
西來庵,sai1 loi4 am1
收穫節,sau1 wok6 zit3
撻大赤腳,
筵上,jin4 soeng6
牛奶總彙,
逐步完善,
淥生菜,
嘴啖先,
騸牯牛,sin3 gu2 ngau4
笥匱囊空,zi6 gwai6 nong4 hung1
貪頭,taam1 tau4
狀聲詞,zong6 sing1 ci4
膩歪,nei6 waai1
晉江地區,zeon3 gong1 dei6 keoi1
直至依家,
攀折,paan1 zit3
胎面,toi1 min2
啪噠,paak1 daat6
副翼,fu3 jik6
豐澤區,fung1 zaak6 keoi1
藠菜,kiu5 coi3
乳餅,jyu5 beng2
市政宿舍,
慣家,gwaan3 gaa1
展評,zin2 ping4
恐怖在線,
忿懣,fan5 mun6
肥胎,fei4 doi1
半音程,bun3 jam1 cing4
對話課,deoi3 waa6 fo3
雞扒飯,
起止時間,
畫兒,waa2 ji4
狗竇大開,gau2 dau3 daai6 hoi1
三官大帝,saam1 gun1 daai6 dai3
咧𠺪,le2 he3
失單,sat1 daan1
直筆,zik6 bat1
殘茶剩飯,caan4 caa4 sing6 faan6
踎唔耐,
漳平,zoeng1 ping4
老母臭閪,
吉州郡,gat1 zau1 gwan6
歸仁鄉,gwai1 jan4 hoeng1
掘你靈精,
劍光,gim3 gwong1
高埔山,
默拉皮,mak6 laai1 pei4
二阿姨,ji6 aa3 ji1
黎曼幾何,lai4 maan6 gei2 ho4
腦健康,
分配律,fan1 pui3 leot6
康巴,hong1 baa1
金銅合鑄,gam1 tung4 hap6 zyu3
睇佢個樣,
喎妥,wo5 to5
甘德縣,gam1 dak1 jyun6
古根海姆,gu2 gan1 hoi2 mou5
瀘定縣,lou4 ding6 jyun6
萬能梗,maan6 nang4 gang2
輕子,hing1 zi2
軍號,gwan1 hou6
安克雷奇,on1 hak1 leoi4 kei4
閉口不談,bai3 hau2 bat1 taam4
嗌嘢食呀,
塔香,taap3 hoeng1
鄋瞞,sau1 mun4
給定,kap1 ding6
腿肚子,teoi2 tou5 zi2
多人嗎,
你發咗,
蒜茸鉗,syun3 jung4 kim4
手寫筆,
艾奇遜,ngaai6 kei4 seon3
好新地,
干擾包,gon1 jiu2 baau1
煲乜,
豬排骨,zyu1 paai4 gwat1
退焮,teoi3 hing3
窮鼠嚙狸,kung4 syu2 jit6 lei4
揪心扒肝,zau1 sam1 paa4 gon1
對心兒,deoi3 sam1 ji4
襖教,ou2 gaau3
遺墨,wai4 mak6
問下先啦,
陳死你,
瀉湖,se3 wu4
啲水好滾,
置之度外,zi3 zi1 dou6 ngoi6
缺省,kyut3 saang2
問著,
傷健協會,
艾納香,ngaai6 naap6 hoeng1
滲蚊仔,sam3 man1 zai2
龍湖區,lung4 wu4 keoi1
摩爾門經,mo1 ji5 mun4 ging1
定遠縣,ding6 jyun5 jyun6
宗聖公,zung1 sing3 gung1
貪嘴,taam1 zeoi2
攪大,
家童,gaa1 tung4
無聊緊,
戈壁荒灘,gwo1 bik1 fong1 taan1
逾垣,jyu4 wun4
做針線,zou6 zam1 sin3
乖覺,gwaai1 gok3
孝感地區,haau3 gam2 dei6 keoi1
令譽,ling6 jyu6
密斯脫,mat6 si1 tyut3
達孜縣,daat6 zi1 jyun6
少說多做,
帽菂,mou6 dik1
狐步舞,wu4 bou6 mou5
幾急,
冰染染料,bing1 jim5 jim5 liu2
沒來由,mut6 loi4 jau4
摩士泳池,
維揚,wai4 joeng4
條陳,tiu4 can4
鼓吹者,gu2 ceoi1 ze2
爐石傳說,lou4 sek6 cyun4 syut3
進賢,zeon3 jin4
漢壽,hon3 sau6
捧殺,pung2 saat3
㨆上,
德惠地區,dak1 wai6 dei6 keoi1
菌柄,kwan2 beng3
兇神惡,hung1 san4 ok3
潛育土,cim4 juk6 tou2
除沾染,ceoi4 zim1 jim5
超遷,ciu1 cin1
𢳆𢳆岌,ngou4 ngou4 ngap6
百信,baak3 seon3
坐呀,
地積單,dei6 zik1 daan1
麥枷,mak6 gaa1
對面喊,
葫蘆巴,wu4 lou4 baa1
頂崗,ding2 gong1
撇人,
叱責,cik1 zaak3
無手尾,
侵晨,cam1 san4
氣包子,hei3 baau1 zi2
點水,dim2 seoi2
胎衣,toi1 ji1
撥爐,put3 lou4
河皮,ho4 pei4
貽貝,ji4 bui3
阿穆爾州,aa3 muk6 ji5 zau1
打貓,daa2 maau1
呆會兒,ngoi4 wui6 ji4
角鬥士,gok3 dau3 si6
藍巨星,laam4 geoi6 sing1
做櫃,
綜合門診,
原則通過,
海盜行爲,hoi2 dou6 hang4 wai4
我打機,
艾實,ngaai6 sat6
日郵,
咩嘢環境,
牛皮菜,ngau4 pei4 coi3
趴著,
潤州,jeon6 zau1
馬蠅,maa5 jing4
薩迦縣,saat3 gaa1 jyun6
米牛,mai5 ngau4
無標題,
漢字詞,
眄睞,min5 loi6
禾苗,wo4 miu4
城固,sing4 gu3
又會噉嘅,
前生冤孽,cin4 sang1 jyun1 jip6
對象類,
畀三盒飯,
水均田,
暗色鴉雀,am3 sik1 aa1 zoek3
窮棒子,kung4 paang5 zi2
幾經反復,
網絡客,mong5 lok6 haak3
煦仁孑義,heoi2 jan4 kit3 ji6
獨二代,duk6 ji6 doi6
嗣歲,zi6 seoi3
你畀咗,
以身抵債,ji5 san1 dai2 zaai3
永順縣,wing5 seon6 jyun6
牀帳,cong4 zoeng3
唓咧,ce1 le1
滑蓋手機,waat6 goi3 sau2 gei1
由亂及治,
傾盤大雨,
龍門刨,lung4 mun4 paau4
氟硅酸,fat1 gwai1 syun1
撚蛋,lan2 daan2
嗰把嘴,
東海大橋,dung1 hoi2 daai6 kiu4
打晒纈,daa2 saai3 lit3
好快返,
覘高頭,
東倉里,dung1 cong1 lei5
能言快語,nang4 jin4 faai3 jyu5
拜眼睏,baai3 ngaan5 han3
世爵,sai3 zoek3
讀乜,
小阿姨,siu2 aa3 ji1
吹須碌眼,
睇佢唔起,
攞掂,lo2 dim6
鹹水大鱷,haam4 seoi2 daai6 ngok6
飲酒駕車,jam2 zau2 gaa3 ce1
克林霉素,hak1 lam4 mui4 sou3
埃文茅斯,aai1 man4 maau4 si1
輕擊球,hing1 gik1 kau4
窒咗一下,
續庭,zuk6 ting4
凍吖,
後事之師,hau6 si6 zi1 si1
食北風,sik6 bak1 fung1
藝術境界,
越南美食,
石咀山區,sek6 zeoi2 saan1 keoi1
兩性異形,loeng5 sing3 ji6 jing4
扣屎盆子,kau3 si2 pun4 zi2
補足音程,bou2 zuk1 jam1 cing4
卸頭,se3 tau4
我哋能夠,
北鷚,bak1 lau6
屁滾尿流,pei3 gwan2 niu6 lau4
殯儀員,ban3 ji4 jyun4
拿捕,naa4 bou6
鐵砂塱,
生色,sang1 sik1
君山區,gwan1 saan1 keoi1
麗緻,lai6 zi3
咪使指意,
冗語,jung2 jyu5
肉湯麪,juk6 tong1 min6
萊山,loi4 saan1
滾熟,gwan2 suk6
褸錯人皮,lau1 co3 jan4 pei4
消除鋸齒,siu1 ceoi4 goe3 ci2
向例,hoeng3 lai6
折秤,zit3 cing3
配子,pui3 zi2
輝南縣,fai1 naam4 jyun6
運貨馬車,wan6 fo3 maa5 ce1
鷲鳥,zau6 niu5
食緊飯,
中堅力量,
第一秒,
緩步當車,wun4 bou6 dong1 geoi1
請嘢,ceng2 je5
洮北,tou4 bak1
壕溝戰,hou4 kau1 zin3
寫咗成晚,
開咗門,
江鷗尾,
依撒依亞,ji1 saat3 ji1 aa3
林卡,lam4 kaa1
受聽,sau6 ting1
你即刻走,
晚咗,maan5 zo2
賊眉賊腦,
散春,saan3 ceon1
足利義稙,zuk1 lei6 ji6 zik6
樂倍多,
心膽,sam1 daam2
岳普湖縣,ngok6 pou2 wu4 jyun6
五峯,ng5 fung1
頂面,deng2 min6
許旺細胞,heoi2 wong6 sai3 baau1
海尼根,hoi2 nei4 gan1
因果論,jan1 gwo2 leon6
口唇膏,hau2 seon4 gou1
吊死你,
膽綠素,daam2 luk6 sou3
奔頭,ban1 tau4
精華版,
你大佬,
地瓜湯,dei6 gwaa1 tong1
老乸,
岸芷汀蘭,
一坺迾,jat1 paat6 laat6
戒忌,gaai3 gei6
統一體,tung2 jat1 tai2
六十四卦,luk6 sap6 sei3 gwaa3
主車羣,zyu2 ce1 kwan4
長沙上,
鳥眼紋,niu5 ngaan5 man4
不告別,
盲人按摩,
