21點    jaa6 jat1 dim2
jam嘢   zem1 je5
jeep仔  zip1 zai2
jer-jer zoe1 zoe1
jer住   zoe1 zyu6
jer-jer zoe4 zoe1
kai子   kaai1 zi2
K金     ke1 gam1
K壓     kei1 aat3
K巴     kei1 baa1
K場     kei1 coeng4
K粉     kei1 fan2
K房     kei1 fong2
K金     kei1 gam1
K歌     kei1 go1
K客     kei1 haak3
K-car   kei1 kaa1
K書     kei1 syu1
K他命   kei1 taa1 ming6
K仔     kei1 zai2
kem-kem哋       kem1 kem1 dei2
kel-lel keu4 leu1
keep住  kip1 zyu6
last-day        laa6 sat6 dei1
lai-lai閒       laai5 laai5 haan4
lump-sum        lam1 sam1
Le-hea  le2 he3
Le-fe   le5 fe5
lag機   lek1 gei1
LAN線   len1 sin3
Lui低   leoi1 dai1
lag機   lik1 gei1
lin頭   lin1 tau4
lur飯應 loe1 faan6 jing3
lur口水講過     loe1 hau2 seoi2 gong2 gwo3
long-d  long1 di1
lin的   nin1 dik1
lin好大 nin1 hou2 daai6
lin頭   nin1 tau4
lin頭硬 nin1 tau4 ngaang6
M到     em1 dou3
M巾     em1 gan1
M記     em1 gei3
M-come  em1 kam1
MK車    em1 kei1 ce1
MK名    em1 kei1 meng2
MK妹    em1 kei1 mui1
MK頭    em1 kei1 tau4
MK仔    em1 kei1 zai2
M痛     em1 tung3
M字額   em1 zi6 ngaak3
Mark出街        maak1 ceot1 gaai1
mark出街        maak1 ceot1 gaai1
mark低  maak1 dai1
Mark哥褸        maak1 go1 lau1
mark實  maak1 sat6
mark住  maak1 zyu6
mum-mum mam1 mam1
mag仔   met1 zai2
mon貼   mon1 tip3
N車     en1 ce1
N年     en1 nin4
N耐     en1 noi6
N線     en1 sin3
No-1    lam1 baa1 wan1
now攪   nau2 gaau6
ngang-ngang聲   ngang4 ngang2 seng1
ngek-ngek       ngek1 ngek1
ngok-ngok脆     ngok1 ngok1 ceoi3
on9仔   ngong6 gau1 zai2
over機  ou1 faa4 gei1
O記     ou1 gei3
O型腿   ou1 jing4 teoi2
OK繃    ou1 kei1 bang1
OK鏡    ou1 kei1 geng3
O仔     ou1 zai2
O咀     ou1 zeoi2
O嘴     ou1 zeoi2
part-time       paat1 taai1
pat-pat pet1 pet1
pet-pet pet1 pet1
pH值    pi1 ei1 cyu3 zik6
PE褲    pi1 ji1 fu3
PE衫    pi1 ji1 saam1
PE堂    pi1 ji1 tong4
P民     pi1 man4
P牌     pi1 paai4
P相     pi1 soeng2
P圖     pi1 tou4
pick-up pik1 ap1
pu你阿麼        pu4 ni5 aa3 mo1
QR-code kiu1 aau1 kuk1
Q版     kiu1 baan2
quit囉  kwit1 lo1
R講     aau1 gong2
R晒頭   aau1 saai3 tau4
Roll機  wou1 gei1
sharp醒 saap1 sing2
sub仔   sap6 zai2
set頭   set1 tau4
si-li-sir-lur   si4 li1 soe4 loe4
small-potato    si6 mo1 pou6 tei1 tou4
sink盤  sing1 pun2
sit-up  sit1 ap1
sorry囉 so1 li4 lo1
short-short哋   sot1 sot1 dei2
Short總掣       sot1 zung2 zai3
short總掣       sot1 zung2 zai3
show-hand       sou1 hen1
show-quali      sou1 ko1 li2
show-quali      sou1 kwo1 li2
So-so   sou1 sou4
tup車   dap1 ce1
thank-you       fen1 kiu4
touch-wood      taa1 cyu6 wut1
T-back  ti1 bek1
T尺     ti1 cek3
T骨     ti1 gwat1
T骨牛扒 ti1 gwat1 ngau4 paa2
T骨扒   ti1 gwat1 paa2
T恤     ti1 seot1
T裇     ti1 seot1
T字褲   ti1 zi6 fu3
T字帳   ti1 zi6 zoeng3
take嘢  tik1 je5
toffee糖        to1 fei4 tong2
toffee糖        to1 fei4 tong4
talk得  tok1 dak1
un-un腳 an3 an3 goek3
un-un吓 an3 an3 haa2
un-un下 an3 an3 haa5
un腳    an3 goek3
un身un勢        an3 san1 an3 sai3
U凸內褲 ju1 dat6 noi6 fu3
USB記憶棒       ju1 e1 si4 bi1 gei3 jik1 paang5
USB手指 ju1 e1 si4 bi1 sau2 zi2
U型枕   ju1 jing4 zam2
U形轉彎 ju1 jing4 zyun3 waan1
U盤     ju1 pun2
van仔   wen1 zai2
van仔   weng1 zai2
V溝     wi1 kau1
V領     wi1 leng5
Wet場   wet1 coeng4
wet場   wet1 coeng4
Wet妹   wet1 mui1
wet妹   wet1 mui1
We哇鬼叫        wi1 waa1 gwai2 giu3
We-We-Wet-Wet   wi1 wi1 wet1 wet1
win-place       win1 pei1
X光     ik1 si4 gwong1
XO醬    ik1 sou1 zoeng3
YP仔    waai1 pi1 zai2
亞head  aa3 het1
阿head  aa3 het1
阿Q     aa3 kiu1
阿Q正傳 aa3 kiu1 zing3 zyun6
亞sir   aa3 soe4
阿sir   aa3 soe4
阿ger   aa3 zoe4
呃like  aak1 lai1
啱key   aam1 ki1
巴比Q   baa1 bei2 kiu1
芭比Q   baa1 bei2 kiu1
巴X閉   baa1 ik1 si4 bai3
巴X閉   baa1 iks1 bai3
巴K閉   baa1 kei1 bai3
巴Q閉   baa1 kiu1 bai3
白sai-sai       baak6 saai4 saai4
扮cool  baan6 ku1
爆seed  baau3 sit1
弊家leu bai6 gaa1 leu1
扁pat-pat       bin2 pet6 pet6
波boot  bo1 but1
背多fun bui3 do1 fan1
半lang-kang     bun3 lang1 keng1
叉lunch caa1 lan4 cyu4
踩roller        caai2 lou1 laa2
齊B短裙 cai4 bi1 dyun2 kwan4
齊B小短裙       cai4 bi1 siu2 dyun2 kwan4
柒fing-fing     cat6 fing6 fing6
車cam   ce1 kem1
扯lin旗 ce2 lin1 kei4
青BB    ceng1 bi1 bi1
吹BB    ceoi1 bi1 bi1
出TRIP  ceot1 cip1
出cheat ceot1 cit1
出籠liu ceot1 lung4 liu1
出pool  ceot1 pu1
出show  ceot1 sou1
青BB    cing1 bi1 bi1
青山open-day    cing1 saan1 ou1 pan1 dei1
鋤大D   co4 daai6 di2
鋤D     co4 di2
坐box   co5 bok1 si2
唱卡啦OK        coeng3 kaa1 laa1 ou1 kei1
唱卡啦OK        coeng3 kaa3 laa1 ou1 kei1
唱K     coeng3 kei1
打boxing        daa2 bok1 sing2
打999   daa2 gau2 gau2 gau2
打card  daa2 kaat1
打J     daa2 zei1
大M     daai6 em1
大sir   daai6 soe4
大V     daai6 wi1
單T     daan1 ti1
搭van仔 daap3 weng1 zai2
低B     dai1 bi1
低B仔   dai1 bi1 zai2
等到2046        dang2 dou3 ji6 ling4 sei3 luk6
對lin好大       deoi3 nin1 hou2 daai6
啲fd    di1 fen1
啲friend        di1 fen1
跌watt  dit3 wok1
跌watt  dit3 wot1
哆啦A夢 do1 laa1 ei1 mung6
賭J     dou2 zei1
賭jer   dou2 zoe1
動L     dung6 eu1
塊gap   faai3 gep1
發T騰   faat3 ti4 tang4
發ti騰  faat3 ti4 tang4
發t籐   faat3 ti4 tang4
發t騰   faat3 ti4 tang4
分AB    fan1 ei1 bi1
貨van   fo3 wen1
呼吸plan        fu1 kap1 pat6 len1
符fit   fu4 fit1
格格jel-jel     gaak3 gaak3 zeu1 zeu1
夾band  gaap3 ben1
搞串個party     gaau2 cyun3 go3 paa1 ti4
搞寸個party     gaau2 cyun3 go3 paa1 ti4
攪串個party     gaau2 cyun3 go3 paa1 ti4
攪寸個party     gaau2 cyun3 go3 paa1 ti4
搞寸個party     gaau2 cyun3 go3 paat1 ti4
攪gag   gaau2 gek1
攪爛gag gaau2 laan6 gek1
夠power gaau3 paau1 aa2
夠pop   gaau3 pok1
雞nan1  gai1 nan1
㓤㓤friend      gat1 gat1 fen1
拮拮friend      gat1 gat1 fen1
鳩fing-fing     gau1 fing6 fing6
夠quali gau3 ko1 li2
夠power gau3 paau1 waa4
見board gin3 bot1
講爛gag gong2 laan6 gek1
攰lai-lai       gui6 laai4 laai4
谷M     guk1 em1
果jam   gwo2 zem1
黑體-繁 hak1 tai2 faan4
黑體-簡 hak1 tai2 gaan2
行Q開   haang4 kiu1 hoi1
考IQ    haau2 ai1 kiu1
考AO    haau2 ei1 ou1
考EO    haau2 ji1 ou1
考CRE   haau2 si1 aau1 ji1
喺邊度Wet       hai2 bin1 dou6 wet1
起pok   hei2 pok1
輕keng  heng1 keng4
去hea   heoi3 he3
去K     heoi3 kei1
去social        heoi3 sou1 sou4
去soso  heoi3 sou1 sou4
去wet   heoi3 wet1
何B仔   ho4 bi1 zai2
開Band  hoi1 ben1
開check hoi1 cek1
開cheque        hoi1 cek1
開OT    hoi1 ou1 ti1
開party hoi1 paa1 ti4
開P     hoi1 pi1
開turbo hoi1 toe1 bou2
好friend        hou2 fen1
好grade hou2 gwei1
好high  hou2 haai1
好Yeah  hou2 je1
好啱key hou2 ngaam1 ki1
好pay   hou2 pei1
空liu-liu       hung1 liu1 liu1
紅A     hung4 ei1
紅van   hung4 wen1
圈a     hyun1 ei1
踩roller        jaai2 lou1 laa2
一筆OUT銷       jat1 bat1 au1 siu1
一Q清袋 jat1 kiu1 cing1 doi2
一Q清枱 jat1 kiu1 cing1 toi2
一take過        jat1 tik1 gwo3
休孖day jau1 maa1 dei1
郵chop  jau4 cop1
有D驚   jau5 di1 geng1
有feel  jau5 fiu1
有符fit jau5 fu4 fit1
有heart jau5 haat1
有point jau5 pon1
有say   jau5 sei1
有so    jau5 sou4
有taste jau5 tei1 si2
異維A酸 ji6 wai4 ei1 syun1
完sem   jyun4 sem6
粵B     jyut6 bi1
粵C     jyut6 ci1
粵D     jyut6 di1
粵F     jyut6 e1 fu4
粵A     jyut6 ei1
粵E     jyut6 ji1
粵G     jyut6 zi1
卡啦OK  kaa1 laa1 ou1 kei1
卡拉OK  kaa1 laa1 ou1 kei1
卡啦OK  kaa3 laa1 ou1 kei1
卡拉OK  kaa3 laa1 ou1 kei1
攬belt  laam2 biu1
爛gag   laan6 gek1
嚟M     lai4 em1
甩cut   lak1 kak1
甩甩cut-cut     lak1 lak1 kak1 kak1
嚟M     lei4 em1
靚kent  leng1 keng1
𡃁kent  leng1 keng1
籮Pet   lo1 pet1
落D     lok6 di1
落Pub   lok6 pap1
碌card  luk1 kaat1
碌Ling  luk1 ling1
碌ling  luk1 ling1
綠van   luk6 wen1
籠liu   lung4 liu1
唔do    m4 du1
唔夠quali       m4 gau3 ko1 li2
孖B     maa1 bi1
孖B車   maa1 bi1 ce1
孖Q     maa1 kiu1
孖T     maa1 ti1
麻Q煩   maa4 kiu1 faan4
買full鐘        maai5 fu1 zung1
民族LOOK        man4 zuk6 luk1
美國51區        mei5 gwok3 ng5 jat1 keoi1
冇符fit mou5 fu4 fit1
冇啦lun mou5 laa1 lang3
冇mood  mou5 mut1
冇point mou5 pon1
冇say   mou5 sei1
淋bat-bat       nam4 bet6 bet6
女keeper        neoi2 ki1 paa2
呃like  ngaak1 lai1
啱feel  ngaam1 feel
啱feel  ngaam1 fiu1
啱key   ngaam1 ki1
啱channel       ngaam1 cen1 nou4
奀chichi        ngan1 ci1 ci1
我唔do  ngo5 m4 du1
昂坪360 ngong4 ping4 saam1 luk6 ling4
昂坪360 ngong5 ping4 saam1 luk6 ling4
戇dog-dog       ngong6 dok1 dok1
戇dog-dog       ngong6 gau1 gau1
戇qq    ngong6 kiu1 kiu1
柯P     o1 pi1
派grade paai3 gwei1
劈K     pek3 kei1
蘋方-簡 ping4 fong1 gaan2
蘋方-繁 ping4 fong1 faan4
蘋方-港 ping4 fong1 gong2
蒲bar   pou4 baa1
蒲D一族 pou4 di1 jat1 zuk6
沙pok   saa1 pok1
沙pop   saa1 pok1
嘥gas   saai1 ge1 si2
三P     saam1 pi1
三C     saam1 si1
三T     saam1 ti1
刪post  saan1 pou1
散band  saan3 ben1
生cancer        saang1 ken1 saa2
細N     sai3 en1
心up    sam1 ngap1
新beyond        san1 bi6 jon1
十四K   sap6 sei3 kei1
實Q     sat6 kiu1
蛇gwe   se4 gwe1
死lur冇用       sei2 loe2 mou5 jung6
石Q     sek6 kiu1
士die佬 si6 daai1 lou2
識do    sik1 du1
食人唔lur骨     sik6 jan4 m4 loe1 gwat1
食mum-mum       sik6 mam1 mam1
食mon-mon       sik6 mung1 mung1
食port  sik6 pot1
食tea   sik6 ti1
傻B     so4 bi1
傻X     so4 caa1
傻gap   so4 gep1
騷quali sou1 ko1 li2
騷quali sou1 kwo1 li2
掃chord sou3 kot1
鬆pat-pat       sung1 pat6 pat6
宋體-繁 sung3 tai2 faan4
宋體-簡 sung3 tai2 gaan2
船P     syun4 pi1
撻Q     taat3 kiu1
吞pop   tan1 pok1
騰訊QQ  tang4 seon3 kiu1 kiu1
跳over  tiu3 ou1 faa4
條條fing        tiu4 tiu2 fing6
玩串個party     waan2 cyun3 go3 paa1 ti1
玩SM    waan2 e1 sem1
玩SM    waan2 e1 si4 em1
玩SM    waan2 es1 em1
玩LINE  waan2 laai1
搵人唱卡拉OK    wan2 jan4 coeng3 kaa1 laa1 ou1 kei1
揸fit   zaa1 fit1
揸fit人 zaa1 fit1 jan4
揸lift人        zaa1 lip1 jaa4
揸lift人        zaa1 lip1 jan4
齋talk  zaai1 tok1
真人show        zan1 jan4 sou1
隻dup   zek3 dap1
隻dup   zek3 dap6
隻lin好大       zek3 nin1 hou2 daai6
至IN    zi3 jin1
自high  zi6 haai1
自po    zi6 pou1
煎pan   zin1 pen1
接job   zip3 zop1
照X光   ziu3 ik1 si4 gwong1
照X光   ziu3 ik1 si6 gwong1
做lab   zou6 lep1
做part-time     zou6 paat1 taai1
做PR    zou6 pi1 aa1 lou4
做show  zou6 sou3
做gym   zou6 zi1 waai1 em1
中途轉gay       zung1 tou4 zyun3 gei1
中三T   zung3 saam1 ti1
豬仔Plan        zyu1 zai2 pat6 len1
豬仔Plan        zyu1 zai2 plen1
