char,fq
吐,134
向,1739
君,275
否,404
否定,44
吸,437
吸收,50
吹,468
呀,6138
呆,300
告,493
呢,14305
呢個,4513
呢啲,1048
味,856
呼,547
呼吸,126
命,1116
命令,37
命運,93
咁,17023
咁樣,1462
咋,231
咗,8213
咩,6780
咩事,431
咩嘢,55
咪,3114
咽,22
品,1075
哈,2592
哋,4282
員,991
哭,132
哽,24
哽咽,11
唔,35130
唔係,5583
唔到,2077
唔及,17
唔單止,136
唔多,447
唔捨得,40
唔知,2451
唔知幾,116
唔緊要,269
唔記得,279
唔通,475
問,4760
問題,1861
啓,4
啖,139
啦,7223
啱,944
啲,6656
啼,22
喃,70
喃喃自語,21
善,335
喊,397
喎,1354
喜,500
喪,130
喪失,12
喪膽,1
單,1892
單一,31
單單,39
單方面,10
喺,5643
嗯,172
嗰,2722
嘅,27491
嘅嘢,728
嘅話,317
嘈,230
嘉,197
嘗,366
嘗試,306
嘢,3878
嘴,334
嘴角,28
器,248
器材,3
嚇,306
嚇親,24
嚟,4583
嚟講,307
囉,1314
四,1554
回,1760
因,4375
因為,3290
國,3189
國力,6
國家,304
國歌,17
國民,45
國產,7
圍,633
圍欄,10
圖,661
團,415
土,565
在,2989
在乎,53
地,10071
地下,210
地板,6
均,130
坐,1050
型,421
埋,3463
城,699
基,777
基地,15
堅,448
堅定,39
堪,70
報,987
場,1856
塵,118
境,477
墟,13
墮,45
墮落,14
壓,430
壓抑,23
士,1248
夏,144
夕,176
外,2307
多,9679
多多,65
夜,711
夠,1927
夠做,15
大,13795
大勢,15
大勢所趨,5
大字,16
大家,2591
大戰,62
大概,443
大義凜然,6
大都,34
天,2568
天下,167
天皇,5
天空,55
天花,54
天際,6
太,2282
太平,28
太平洋,6
夫,283
失,1582
失神,3
失笑,4
失落,43
夷,43
奇,843
奉,104
奉獻,11
奏,78
奪,86
奪眶而出,5
奮,190
女,5179
女人,491
好,24612
好似,2777
好冇,35
好多,2497
好清,125
好過,207
如,6776
如何,273
如果,3260
妖,94
妙,375
妻,116
妻子,18
始,2194
姨,50
姨姨,7
姿,101
姿態,46
婆,884
婚,814
婦,94
婦孺,3
媽,1004
媽媽,158
嫂,95
子,2435
子孫,16
孔,101
字,2779
存,573
存在,282
季,87
季節,10
孫,137
孺,5
守,334
安,1268
安全,157
完,3807
完全,1539
完成,170
宏,29
宏觀,11
宗,177
定,4781
定向,4
定局,7
定必,17
宛,7
宜,218
宣佈,28
宣傳,64
宣言,16
宣讀,3
家,8821
家人,131
家書,8
寂,93
密,324
實,5944
寫,2538
封,314
射,333
將,2505
將來,95
將會,70
尊,246
尋,301
尋常,24
對,6072
對上,45
對於,406
對望,15
小,3336
小時,143
少,3874
就,17837
就係,3678
就正,34
就死,34
就算,1232
局,564
居,435
居民,51
屈,164
屈辱,5
屋,1522
屋企,1104
屍,175
展,667
展出,20
層,626
屬,424
島,388
川,27
州,172
工,2434
工人,73
工場,15
工廠,24
工業,27
工藝,13
左,7088
差,1211
差距,24
己,6106
已,5366
已成定局,2
已經,4789
巴,510
巴西,31
市,1036
市民,197
希,713
希望,634
帝,222
帝國,37
師,1221
帶,1132
帶領,20
常,1821
幅,147
幫,1470
平,1957
平時,420
年,5512
年代,267
幸,358
幸福,153
幾,6472
幾多,622
幾多人,63
幾時,340
底,940
府,679
度,5041
座,313
廠,105
廢,479
廢墟,5
廣,1113
廣播,34
建,638
建設,28
弄,71
式,1063
引,604
引擎,18
弱,296
強,1055
強權,19
彈,469
彌,46
彌補,16
影,1340
影響,389
彷,73
彷彿,52
役,68
往,751
征,22
征服,7
待,423
後,9393
後人,26
後悔,134
得,13088
得以,55
得出,305
從,1308
復,382
復興,15
微,415
微笑,98
徵,142
徵召,3
心,6359
心愛,5
心理,111
心理準備,17
心願,16
必,1031
必需,16
必需品,6
忍,611
忍唔住,297
忖,4
志,304
忠,215
念,695
思,1415
思考,193
性,1828
怨,166
恙,7
恨,174
恩,164
恩情,6
悔,203
情,3376
惟,24
想,6283
愈,911
意,5121
意義,245
意識,175
愛,1851
感,2160
感到,158
感受,194
感激,52
態,670
慶,199
慶祝,89
憐,126
憑,153
憤,100
懷,391
懸,47
懸殊,12
懾,4
成,6174
成功,355
成名,11
成就,74
成年,68
成敗,4
成日,855
成為,521
成績,100
我,45175
我哋,2126
或,2450
或者,1879
或許,28
戰,894
戰場,23
戰敗,10
戰機,16
戰況,4
戰爭,66
戰鬥,34
戰鬥機,3
所,6074
所以,2703
所在,34
所有,926
手,4416
手上,95
手臂,47
打,4066
打敗,11
打破,46
打開,330
扭,154
扭轉,19
扯,133
承,481
技,461
技師,6
技術,111
把,846
抑,126
投,686
投入,68
投射,14
投降,25
投靠,7
抖,106
抗,359
抗衡,11
抬,163
抱,254
抱怨,17
抹,192
抽,380
抽象,20
拉,640
拉扯,10
拎,1469
拖,587
拳,207
拳頭,28
拾,81
持,968
持續,54
指,1181
指向,18
振,134
捉,370
捨,196
捨得,68
接,1728
接受,406
推,862
揚,173
換,670
揸,143
損,108
損耗,6
搞,1768
搞到,303
搵,2200
摸,257
撫,41
播,274
擊,493
擊落,2
操,203
擎,19
擠,100
擰,81
擰轉,17
擺,399
擺脫,29
攘,14
攞,215
支,846
收,1435
收到,134
收拾,30
收藏,11
收音,22
收音機,21
改,985
改變,321
攻,257
放,2126
放低,143
放棄,239
政,1561
政府,601
故,1086
故此,15
敗,447
教,1551
教訓,37
散,507
整,910
整整,19
敵,231
敵人,76
敵我,3
敵軍,4
數,1952
文,5344
斜,77
斬,129
斬頭,1
斯,413
斯巴達,4
新,2078
斷,1074
方,3520
方面,334
於,4956
族,430
既,18400
既然,402
日,6692
日以繼夜,5
日前,22
日後,83
日本,460
旨,111
早,1302
旭日,4
明,3805
明白,479
春,295
春天,8
時,9178
時代,238
時候,1449
時局,12
時間,1564
晚,1117
曬,223
更,2304
更加,792
書,2257
書法,14
曾,617
曾經,383
替,121
最,5051
最好,354
最後,1495
最終,155
會,15834
月,1351
月光,20
有,26323
有冇,390
有意,128
有所,165
有時,713
服,568
朕,15
望,3131
朝,378
朝夕,6
期,1466
期待,67
期間,71
木,272
未,2775
未來,157
本,4621
本人,135
本份,21
本來,496
本土,189
本身,462
本願,1
朽,26
材,297
村,288
東,1331
東亞,28
東京,20
東方,32
松,30
板,213
果,7782
架,2932
架次,1
某,747
染,159
染上,7
查,407
根,1407
根本,1034
條,2612
棄,445
棵,60
楚,612
業,1030
極,1135
概,625
榮,160
標,605
標示,13
模,346
模糊,42
樣,6135
樣貌,26
樹,239
機,2859
機動,4
機師,6
橡,7
橡膠,3
檢,126
檢查,42
櫻,37
櫻花,16
欄,77
權,804
次,3992
次貨,2
欲,170
欺,74
欺壓,8
歌,946
歐,280
止,741
正,3345
正一,28
正在,22
正宗,21
正正,237
此,1242
步,1084
武,336
武士,15
歪,70
歲,576
歷,691
歷史,357
歸,401
死,3213
死亡,93
殊,71
殘,228
殘缺,7
殘酷,27
殺,1145
殺入,5
殺死,48
母,905
母親,63
每,1666
每逢,24
比,2008
比起,121
民,1906
民族,208
氣,2266
水,2356
水準,20
永,481
永遠,352
江,174
江河,3
江河日下,2
污,168
決,1149
決戰,6
汽,37
汽油,3
沉,378
沉寂,5
沒,772
河,171
油,269
治,766
況,900
泉,46
法,3798
法理,11
注,322
注定,23
洋,296
洞,121
活,1112
浮,166
海,1047
涼,219
淚,300
淚水,21
淡,271
淨,501
深,1144
深深,90
混,193
混雜,7
清,1760
清楚,515
減,287
湊,80
準,632
準備,207
溫,443
溫泉,4
滅,253
滴,138
滾,136
滿,835
滿面,27
漫,278
漫不經心,5
漸漸,58
激,420
激憤,1
濫,58
火,860
火海,8
火爐,7
灰,243
炮,127
炮火,3
炮轟,3
炸,347
炸彈,88
為,9370
烈,258
烈焰,6
烘,5
烙,4
烙印,4
烤,9
無,12849
無價,10
無力,73
無堅不摧,2
無奈,153
無常,25
無恙,7
無意,169
無敵,37
無數,76
無止境,14
無論,371
無關,108
焦,84
焦土,7
焰,22
然,11034
煉,26
煉獄,6
照,772
照亮,6
照片,18
照顧,103
熟,497
熟悉,112
燒,377
營,180
爆,844
爆炸,121
爐,101
爛,361
爬,84
爭,692
爭霸,4
爲,63
爸,564
爸爸,137
爾,307
片,772
牌,582
牧,48
物,1562
特,1216
犧牲,131
狀,343
猶,153
猶如,35
獄,114
獨,591
獵,82
獵物,9
獻,142
獻上,4
獻身,6
玉,113
玩,1622
玩弄,9
現,3068
現在,188
現狀,25
球,692
理,3616
理想,114
理解,247
琴,137
琴日,8
瑕,13
瑕疵,7
瓣,9
甘,194
甘心,45
甚,2051
甚至,1330
生,7505
生人,51
生命,269
生存,96
生日,167
生果,65
生產,122
生長,6
產,662
用,5554
用力,54
田,177
由,2143
由得,85
畀,1580
畀人,296
界,1957
畢,421
略,313
當,5073
當中,301
當日,84
當風,7
疑,564
疑問,56
痛,687
痛苦,123
發,4409
發揚,14
白,1925
白屋,2
白色,144
百,1017
皆,200
皇,267
皺,76
皺紋,12
盛,171
盛開,1
盡,828
盡力,49
目,1188
目光,82
目標,143
直,2338
直接,307
相,3023
相信,645
相傳,22
眉,172
眉頭,32
真,8494
真係,6136
真實,117
真正,290
眶,27
眼,2211
眼中,81
眼前,167
眼神,186
眾,722
睇,5841
瞄,17
瞳,17
瞳孔,11
知,7793
知道,2125
砍,8
破,517
碎,154
確信,4
示,743
祝,243
神,2253
神州,5
神話,22
禁,284
福,371
福氣,11
禮,589
禮物,95
秀,251
秀麗,9
科,802
科技,101
移,309
移民,105
種,2525
稱,487
究,1412
究竟,978
空,890
空洞,38
空襲,4
穿,318
穿過,23
突,1224
突兀,18
突然,848
立,1110
立功,2
站,409
竟,2257
章,349
笑,2668
笑笑口,41
第,2198
第一,1034
第二,608
等,2475
等等,309
答,1154
算,2940
管,509
節,771
篤,85
簡,968
簡稱,27
簡陋,9
粉,238
粉紅,23
粉紅色,16
粗,386
粗糙,7
粗製濫造,1
粹,179
精,958
精妙,1
精密,8
精神,384
糊,112
糖,149
糙,7
紅,839
紅色,126
紋,53
紙,678
級,518
細,2005
終,1846
終於,894
終歸,10
終結,22
結,2198
結婚,392
結局,92
絕,1039
絕境,5
絕對,396
絕路,4
絢爛,3
絲,335
經,6992
經營,29
維,482
維持,163
緊,2595
緊要,493
線,1377
編,332
緩,100
練,407
縣,31
總,1079
總係,84
總會,83
績,148
繼,1589
續,1741
缺,246
置,361
美,1387
美國,305
羞,54
羞辱,8
群,364
義,1079
翻,313
翻身,13
翻轉,3
翼,126
老,4186
老家,7
老弱婦孺,1
考,941
者,3636
而,7346
而已,37
耗,52
聞,657
聞風喪膽,1
聲,3755
聲線,111
職,489
職責,33
聽,3012
聽眾,28
肉,523
肯,791
背,603
背面,7
能,4458
能夠,619
脫,243
腦,911
腦海,86
腳,697
腳步,42
膊,137
膊頭,106
膠,361
膽,215
臂,98
臣,74
臨,266
臨時,18
自,9460
自己,5955
自強,14
自忖,1
自此,50
自然,449
至,3099
至今,61
至少,160
與,840
與其,74
與否,38
興,711
興奮,111
舉,594
舍,75
航,43
船,225
艙,4
艦,15
良,462
良久,24
色,1692
艷,10
花,1204
花瓣,5
芽,17
苟,33
若,490
若有所思,5
苦,784
苦笑,40
苦難,12
英,1333
茅,28
茲,11
荒,111
荒廢,5
萬,1257
落,3197
落去,747
落後,34
落成,4
落淚,14
落雪,1
著,1512
著火,10
蒙,59
蒙受,1
蔭,28
藏,146
藝,412
藝術,244
藝術品,35
藤,40
蘇,88
處,1195
虛,284
虛浮,2
蟬,26
血,638
血污,11
行,4264
術,668
街,1598
街口,29
街道,23
衡,118
衷,84
被,1148
補,444
裝,532
裡,516
裡面,205
製,274
製造,98
襲,130
西,907
要,12543
見,4482
見底,8
見證,38
視,1169
視線,40
親,674
親手,13
親自,27
覺,4086
覺得,2662
觀,937
角,890
角度,144
解,4169
言,1879
計,1265
訊,321
訓練,99
記,2143
記住,221
記得,790
訪,180
設,416
設計,104
許,329
註,125
註腳,8
詞,1125
詞語,44
試,1397
話,9979
誓,67
語,3355
語氣,195
誠,759
課,265
課題,14
請,779
論,1665
諗,3228
諗起,273
諾,77
講,10890
證,658
證明,157
識,2967
讀,1307
變,2616
象,622
貌,216
負,419
貨,376
貨真價實,6
貫,105
責,501
買,1225
買下,22
賞,243
賦,47
賦予,16
質,610
質問,30
贏,298
走,2635
赴,25
赴死,3
起,3670
起上嚟,47
起伏,23
起嚟,52
起立,3
超,699
超越,37
超過,91
越,616
趨,69
足,1063
足跡,8
跑,379
跑道,21
距,196
跡,163
路,2105
跳,516
躍,74
身,3698
身上,189
身為,61
身邊,315
軀,49
軍,373
軍人,16
輔,117
輔助,15
輕,837
輪,410
輸,429
轉,1433
轉身,75
轟,157
轟炸,10
轟炸機,1
辛,267
辛苦,226
辜,97
辜負,15
辦,861
辦法,519
辱,79
近,1435
近乎,56
返,3833
返嚟,215
送,681
送死,10
逆,114
逆轉,15
逐,274
逐漸,52
途,275
通,2557
通往,9
通知,70
造,434
造工,3
造訪,6
逢,96
進,1031
進展,11
運,792
過,10325
過去,473
過往,73
過於,46
道,3772
道義,10
道路,22
達,681
達到,81
遠,1087
遠方,38
避,398
避開,49
還,830
邊,4117
那,794
郎,184
部,1997
都,25165
都係,4164
都好,980
都會,1155
鄰,43
鄰舍,3
配,348
配置,4
酷,54
重,2567
重大,28
重要,700
銳,36
鋁,12
鋼,100
鍾,906
鍾意,847
鎖,172
鑑,27
長,2114
門,1380
開,6116
開始,1648
開展,8
開戰,5
開手,15
開聲,12
開花,34
開通,2
間,4314
間開,9
關,2165
關係,540
關心,207
防,270
防空洞,6
阿,3146
阿嫂,16
陋,29
降,280
陛,3
陛下,2
陣,2314
陣陣,48
隊,574
隊友,21
隊長,24
隔,433
隔離,170
際,418
隨,844
隨住,72
隨時,337
隻,1739
雀,126
雀躍,15
雖,1366
雖然,1254
雙,629
雜,387
雜亂,4
雜牌軍,1
離,1412
離開,390
難,1847
難免,74
難堪,4
雪,266
雲,331
雲層,1
零,575
需,901
需要,754
震,358
震懾,3
霜,28
霸,274
靚,681
靜,675
靜靜,82
非,1120
非常,261
靠,415
面,6595
面對,303
革,174
革新,11
音,1645
音訊,8
響,824
頂,681
項,120
順,477
預,442
預先,21
領,424
頭,4341
題,2476
願,487
願意,135
顧,403
顯,599
顯出,11
顯得,69
風,1216
飄,98
飛,865
飛機,157
飛行,15
食,3689
食糖,2
首,982
馬,736
馬力,5
駕,42
駕駛,11
駛,930
體,1411
高,2405
高超,13
鬚,91
鬚根,7
鬥,362
魂,229
魚,398
魚肉,5
鳴,92
麗,158
黑,1019
點,8322
點樣,671
點滴,10
點算,153
點解,2307
鼻,190
鼻鼾,8
鼾,8
齊,1344
N,907
NG,57
P,1128
d,5275
hi,565
一排,63
一道,53
丁,180
七,791
下場,46
不仁,5
不外,49
不外乎,41
不屑,28
不得,135
不必,35
不忍,13
不求甚解,5
且,1204
並非,94
中中,9
中史,20
中學,241
中年,123
中心,184
中文,384
之一,165
之列,13
之餘,148
九,772
九龍,67
仁,294
份子,39
休,210
伸,198
伸出,28
但係,4922
作者,172
佳,183
使費,2
便,514
俗,201
保育,17
修,332
修辭,9
借,312
停留,35
備份,4
催,86
催還,1
傳媒,60
像,551
儀式,42
元,327
元帥,11
先好,49
光彩,4
光榮,13
免疫,3
免費,61
入坑,1
全城,13
八,955
六,842
其來有自,2
具,297
冇乜,146
冒,84
冒險,20
凡是,2
刊,48
列入,12
則,663
前輩,29
副刊,4
創,322
動物,126
包,890
包括,214
北,334
北帝,4
匡,25
印象,171
卷,108
原則,105
取,583
台,836
同好,47
名單,38
名家,6
吖,277
唔使,466
唔淨只,3
唔見,163
唔見得,26
唔識,725
啊,654
單元,2
嗰時,104
嘞,185
噉,681
回想,42
回顧,38
固,177
固然,47
地鐵,238
坑,59
基本,366
報人,2
報格,1
報紙,129
壞,370
壹,6
大樓,14
天王,13
失寵,2
好少,192
好睇,170
始於,8
媒,162
媒體,61
學,5366
學期,23
實情,22
寵,62
寵兒,1
專,568
專欄,16
小學,161
尚,192
尚且,33
屬於,152
帥,20
常人,55
常識,72
平常,29
平常人,11
幾大,70
廳,263
張,1451
形,803
形象,82
彩,440
律,580
後繼,24
後話,42
得到,428
得嚟,41
心思,40
心思思,6
必定,42
忍心,12
怡,18
急,760
恥,147
情願,40
惜,390
惠,84
想像,245
意見,167
感觸,13
慣,332
慧,89
慶幸,27
應,3383
房,724
所謂,702
才,560
才子,10
投稿,9
括,248
按,281
排,768
推薦,26
提,1263
提綱挈領,2
搭,468
攪,72
政治,423
救,483
教育,235
敬,141
敬佩,2
文采,3
新聞,281
日子,182
日常,137
明明,319
星,962
星期,441
星期日,88
是,4765
時期,98
晨,118
智,359
智慧,55
曙光,9
最初,32
最多,238
最近,277
有多,80
有如,52
有幸,18
有得,225
本事,18
李,342
林,1795
果樹,3
格,870
榨,26
樓,846
橋,240
歲月,47
段,768
毒,667
氏,80
水氣,5
求,1287
沖,221
波,598
注意,95
洗,572
流,1295
流傳,31
浸,111
淪,58
淪為,26
添,382
清泉,3
渡,97
港,4840
湮沒,1
源,622
漫畫,57
潘,40
澤,75
為咗,377
烈士,1
無疾而終,10
煙,472
照妖鏡,3
燃,50
燃眉之急,1
爽,149
牆,169
版,422
牛,596
犬,26
王,691
現代,122
現代化,5
由衷,13
留,1208
留待,6
畫,710
異,598
異見,8
當初,216
當時,378
當然,1442
疫,78
疾,63
痕,123
癮,124
白白,21
的,6756
的確,302
皇帝,44
盲,121
着,122
知識,127
知識份子,10
破舊,8
碗,290
社,994
社長,16
禮貌,75
私,296
種子,7
稿,93
窗,223
竟然,1093
竽,2
筆,442
筆記,57
筆跡,3
箇中,22
糟,102
系,529
系列,198
紀,428
紀律,6
素,326
結集,3
絕不,44
經已,18
經歷,183
維基,49
綱,38
網,773
網上,241
網媒,12
緣,186
編輯,66
總編,22
總編輯,8
繼續,1445
習,621
習慣,181
老人,158
老師,297
聽過,171
育,337
自由,312
舊,780
艱,65
若果,65
英文,453
華,610
華文,34
華氏,1
著作,12
董,66
葬,41
葬送,7
薰陶,5
蘋果,101
號,646
衰,386
裝備,54
複,231
複雜,141
解救,9
觸,247
訂,100
評,484
試場,8
語言,672
語言學,43
談,361
謂,989
護,513
護法,9
讀書,246
讀者,94
貪,124
費,548
賣,603
輟,2
輩,142
輯,174
輾,17
輾轉,15
辭,189
返學,94
追,725
退,420
退休,66
過渡,16
道具,10
道理,229
適,357
適合,90
遲,520
選,1225
選修,4
都市,20
采,51
金,1420
錄,396
錄影,18
錦,30
錦上添花,3
鍊,72
鏡,312
鐵,534
閱,93
陶,86
險,305
雁,3
雅,118
集,577
面向,22
頭像,3
頭腦,33
題目,56
風波,10
飯,1102
飯碗,12
餐,599
餐廳,174
餘,441
香,4188
香港,3770
驅,61
驅使,8
體會,30
高中,13
鷹,37
鷹犬,1
黃,715
黃金,69
黨,277
龍,498
%,1551
97,108
BB,86
D,3896
cc,97
com,481
in,4638
m,8205
oe,77
ok,548
so,635
一點,329
上下,153
不一,29
不在話下,17
不學無術,6
不惜,35
不才,15
並冇,27
並重,7
中庭,1
之外,282
人力,16
以上,256
以下,155
件,1806
位,1949
例,1315
供,305
係噉,48
傅,275
傳承,48
傳統,149
傳說,50
元素,52
先前,12
兜,148
內容,168
六月,53
共通,34
其中,364
冊,67
冠,103
凡係,8
出席,35
刷,42
創作,102
力量,151
印刷,20
反思,45
叢,26
口耳相傳,8
可惜,217
各行各業,6
合作,62
合力,13
同埋,1043
向來,48
吹水,66
呈,54
呈現,36
唔少,278
喃嘸,3
喇,1486
單位,87
單靠,15
喺度,536
噉樣,103
圈,222
坊,119
城市,150
執,603
執字粒,3
培,55
培訓,12
堆,650
場合,37
多啲,197
多多少少,9
多少,107
大個,114
大可以,19
大單,3
大意,23
天書,7
契,115
契機,5
妄,72
始終,438
字元,3
字帖,2
字形,19
字粒,4
字體,14
學校,343
學識,154
容,1129
寄,108
富,263
寓,20
實在,317
實物,19
實踐,36
寫字,43
寶,306
將軍,40
將軍澳,14
專門,31
小學雞,21
少少,904
展期,1
展覽,37
工作,497
工作坊,4
工具,91
工具書,3
巧,234
帖,48
師傅,269
師徒,7
席,209
庭,249
廣場,48
形式,66
形態,25
形成,48
徒,189
情況,603
慚,19
戴,271
户,2
所得,32
手冊,18
扎,102
技巧,73
技藝,9
把手,8
招,357
招牌,39
拿,339
拿捏,8
捏,20
授,149
掌,225
掌握,91
掛,428
探,253
探討,19
提供,119
換言之,17
握,224
揮,322
撇,42
據,519
支持,293
教授,100
文化,578
文字,232
新丁,1
施,252
施展,9
昔,31
昔日,19
星期三,10
晒,2429
書寫,119
有力,37
有啲,882
有心,144
有心人,28
有賴,7
未必,312
校,814
核,250
核心,48
根據,148
楷,12
構,238
構件,1
正傳,10
正規,7
步驟,19
活字,2
深思,14
演,626
演變,21
漢,378
漢字,106
澳,200
為例,30
無形,23
無非,25
燈,463
燈飾,8
物質,28
特別,419
狂,395
狂草,1
獲,137
現場,110
理所當然,39
用户,1
畫蛇添足,4
發展,360
發揮,90
盔,43
相似,44
相關,86
看,643
眾人,49
瞞,24
研,353
研究,302
社群,24
程,775
種種,107
穢,22
筆劃,7
策,157
策劃,3
範,210
範疇,24
篇,657
粒,335
約,566
約略,6
結合,23
統,570
經驗,184
緣故,4
編纂,4
縱,90
縱使,28
繃,23
考究,7
耳,456
背後,134
自以為,34
自慚形穢,4
自身,62
至到,37
致,405
致敬,14
草,282
虹,13
蛇,150
行動,199
行業,69
衣,273
衣冠,5
規,414
覽,66
觀賞,12
言歸正傳,8
討,401
討論,224
記錄,62
認,1747
認真,365
語源,21
說,1856
說話,240
課程,40
講究,38
識字,41
譬如,97
議,762
豐,139
豐富,63
賴,121
起點,26
跟,952
跨,44
踐,51
連,1790
連貫,8
遊,706
運用,63
運輸,8
適用,80
遺,171
遺產,7
邀,54
部件,3
量,830
錯,1746
鍵,121
鑿,36
長遠,23
開口,138
關鍵,98
限,385
限制,39
除,1091
除咗,322
集合,23
雞,876
電,2516
電腦,310
霓虹,4
霓虹燈,3
靈,442
靈活,32
面貌,11
鞭,32
鞭策,6
頓,139
頭盔,41
頭頂,11
類,1046
類似,94
飾,147
馬路,83
驗,410
驟,34
體驗,44
1999,11
L,1792
M,1473
T,2010
do,385
er,3022
fe,365
feel,97
pea,53
su,186
un,1144
一樣,1839
一般,377
一面,130
不符,15
不至於,4
丹,100
丹麥,6
主人,72
主人翁,7
主宰,12
主角,229
乘,218
了結,15
事實,314
事業,66
享,323
人物,173
他人,432
代表,422
仲係,340
伴,170
伴侶,53
作家,63
作用,71
例如,680
例子,206
依賴,27
侶,105
倍增,1
假,823
假假哋,3
偷偷,46
偷偷摸摸,10
價值觀,45
償,52
兼,170
凸顯,10
出海,13
出門,50
分,4012
分享,141
刺,177
刺激,50
刻板,5
劇,570
劇透,21
加碼,2
動身,2
化骨龍,4
卡,471
去路,3
及時,46
反映,111
合唱,27
合埋,54
同事,311
同學,362
同時,357
含,185
呼應,13
哲,284
哲學,207
哲學家,16
唔理,263
唱,730
啟,135
啟發,26
喪禮,3
嘉年華,6
噚,9
噚晚,7
四眼,9
四眼仔,3
圍繞,20
園,302
堂,528
增,191
外語,32
大仔,2
大道,27
天生,31
天生一對,2
太陽,99
夫婦,13
失意,5
失敗,233
失衡,6
奧,121
奧斯卡,6
女伴,10
奴,88
奴隸,33
好景,36
姻,80
威,468
婚姻,74
孕,35
孕育,7
學問,67
學家,83
學生,583
學科,16
安慰,104
完結,57
宰,19
家庭,168
寂寞,36
實係,365
實驗,63
寶貴,29
專業,106
專注,22
對照,13
就好,648
帆,14
帽,84
幕,230
年華,7
影評,10
彼,102
彼此,49
後來,251
後者,75
後面,246
得不償失,3
德,368
心理學,10
心靈,44
忽,577
忽然,391
思想,136
情感,61
情節,51
感覺,535
慕,54
慰,151
應該,2053
戀,391
扭動,7
拆,169
拆散,7
拿手,9
挪,19
挪威,4
